t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1
1.0,370.0000000000001,-5.291675493389218e+19,-1.5596714469108934e-127,1371241873767944.0,3.923067625912055e+16,3.785943438535257e+16
1.9090909090909092,370.0000000000001,-5.293396189245e+19,3.902283155089714e-126,1969470221989636.5,5.925223220393847e+16,5.728276198194879e+16
2.909090909090909,370.0000000000001,-5.294026817997845e+19,2.124903084767082e-126,2500208243391500.0,7.496965114479688e+16,7.246944290140544e+16
4.00909090909091,370.0000000000001,-5.294330563467258e+19,2.033627577290816e-123,2977834087582652.0,8.891760703297128e+16,8.593977294538862e+16
5.21909090909091,370.0000000000001,-5.294515827072951e+19,6.430766140320632e-123,3425199910389839.5,1.020186644191532e+17,9.859346450876336e+16
6.55009090909091,370.0000000000001,-5.2946464615649804e+19,3.0987756542986966e-122,3857036161648344.0,1.1469107833322542e+17,1.1083404217157694e+17
8.01419090909091,370.0000000000001,-5.294746252823579e+19,5.848348249983501e-121,4281815006008548.0,1.271696860469128e+17,1.228878710409043e+17
9.624700909090912,370.0000000000001,-5.294826252374389e+19,3.61582073892467e-120,4704891463348796.0,1.396077503381173e+17,1.3490285887476854e+17
11.396261909090914,370.0000000000001,-5.2948925144474124e+19,6.457146741691046e-119,5130057708753462.0,1.5211574492866205e+17,1.4698568721990867e+17
13.344979009090915,370.0000000000001,-5.294948717996625e+19,3.5425811718291603e-118,5560162555097985.0,1.6477928805325174e+17,1.5921912549815382e+17
15.488567819090918,370.0000000000001,-5.294997228409276e+19,2.725433289284798e-118,5997105013542134.0,1.7766931929149814e+17,1.7167221427795584e+17
17.84651551009092,370.0000000000001,-5.295039583924931e+19,4.864850610503231e-117,6441570349197806.0,1.9084963065039066e+17,1.8440806030119283e+17
20.440257970190924,370.0000000000001,-5.29507703673968e+19,1.5093596324938946e-117,6896829794471626.0,2.0437654179906317e+17,1.9747971200459158e+17
23.293374676300928,370.0000000000001,-5.295110883001287e+19,7.979908602591113e-118,7370333712758310.0,2.182904692293035e+17,2.1092013551654528e+17
26.43180305302193,370.0000000000001,-5.295141693615864e+19,-1.6452160509046943e-115,7861342362122138.0,2.3262881912208845e+17,2.2476747675996634e+17
29.884074267415034,370.0000000000001,-5.295169635894441e+19,-3.737863122528291e-114,8366451492651228.0,2.4743635980907875e+17,2.3906990831642752e+17
33.681572603247446,370.0000000000001,-5.2951950548407075e+19,-9.264928484167088e-113,8886929708452506.0,2.6275936977281952e+17,2.5387244006436714e+17
37.8588207726631,370.0000000000001,-5.295218340430028e+19,-2.6532486143058228e-111,9425408871348166.0,2.7864198333878486e+17,2.6921657446743677e+17
42.45379375902032,370.0000000000001,-5.295239797405228e+19,-8.548362851050022e-110,9983950157066258.0,2.9512691566214e+17,2.8514296550507395e+17
47.508264044013266,370.0000000000001,-5.2952596546651144e+19,-3.0874484942053086e-108,1.0564196427528212e+16,3.122566616537516e+17,3.016924652262232e+17
53.06818135750551,370.0000000000001,-5.295278093772417e+19,-1.2434827741001654e-106,1.1167661111886998e+16,3.300741829519075e+17,3.189065218400204e+17
59.184090402346975,370.0000000000001,-5.295295264911747e+19,-5.553236907768487e-105,1.1795846021466434e+16,3.48623285007729e+17,3.3682743898626246e+17
65.91159035167259,370.0000000000001,-5.295311294982566e+19,-2.732143883240006e-103,1.2450279353709836e+16,3.6794887419764794e+17,3.554985948439379e+17
73.31184029593076,370.0000000000001,-5.295326292511161e+19,-1.4695708958675052e-101,1.3132530448402868e+16,3.8809716766783514e+17,3.7496463721943226e+17
81.45211523461475,370.0000000000001,-5.295340351135826e+19,-8.564734190119528e-100,1.384421830108627e+16,4.091158797644176e+17,3.9527166146333126e+17
90.40641766716715,370.0000000000001,-5.2953535522507784e+19,-5.353005921823807e-98,1.4587017437021564e+16,4.3105439530316454e+17,4.164673778661429e+17
100.25615034297478,370.0000000000001,-5.295365967077089e+19,-3.5465564954635242e-96,1.5362662992876372e+16,4.539639351865955e+17,4.3860127219371923e+17
111.09085628636316,370.0000000000001,-5.2953776583493116e+19,-2.459181675800617e-94,1.6172958404259406e+16,4.778977140900125e+17,4.6172475568575277e+17
123.0090328240904,370.0000000000001,-5.295388681655008e+19,-1.7601031675256096e-92,1.7019780673397636e+16,5.029110938493394e+17,4.858913131759417e+17
136.11902701559035,370.0000000000001,-5.295399086473385e+19,-1.281271228574127e-90,1.7905082062863882e+16,5.2906174049943296e+17,5.1115665843656915e+17
150.5400206262403,370.0000000000001,-5.2954089171055124e+19,-9.340270130223106e-89,1.883089996478186e+16,5.564097769832973e+17,5.375788770185158e+17
166.40311359795527,370.0000000000001,-5.2954182133823414e+19,-6.709457502388635e-87,1.9799358761263376e+16,5.85017940079641e+17,5.6521858131837786e+17
183.8525158668417,370.0000000000001,-5.295427011281654e+19,-4.671068481693839e-85,2.0812677364285576e+16,6.14951738642717e+17,5.941390612784317e+17
203.0468583626168,370.0000000000001,-5.295435343427866e+19,-3.098780858418854e-83,2.1873173439209856e+16,6.46279616380461e+17,6.244064429412512e+17
224.1606351079694,370.0000000000001,-5.295443239519912e+19,-1.9255596602301932e-81,2.2983269678189276e+16,6.790731186462323e+17,6.560898489680435e+17
247.38578952785727,370.0000000000001,-5.295450726688922e+19,-1.1015263254426024e-79,2.4145499497672724e+16,7.134070645741673e+17,6.892615650764945e+17
272.9334593897339,370.0000000000001,-5.295457829802128e+19,-5.700803660744931e-78,2.536251304460664e+16,7.49359725182731e+17,7.239972121381239e+17
301.0358962377982,370.0000000000001,-5.2954645717220835e+19,-2.622753005245576e-76,2.663708347401871e+16,7.870130080548713e+17,7.603759245808524e+17
331.948576770669,370.0000000000001,-5.295470973528569e+19,-1.0537684845459251e-74,2.7972113454231516e+16,8.264526492272865e+17,7.984805357730555e+17
365.9525253568268,370.0000000000001,-5.295477054709436e+19,-3.630937770753199e-73,2.9370641928826484e+16,8.677684129016896e+17,8.383977709728625e+17
403.3568688016004,370.0000000000001,-5.2954828333254345e+19,-1.0529159421081858e-71,3.0835851166963136e+16,9.110542995689814e+17,8.802184484020179e+17
444.50164659085135,370.0000000000001,-5.2954883261532045e+19,-2.5185485434216643e-70,3.2371074126415812e+16,9.564087631220132e+17,9.240376889955972e+17
489.7609021590274,370.0000000000001,-5.295493548809732e+19,-4.860035143316467e-69,3.3979802122941624e+16,1.0039349375650381e+18,9.699551354420963e+17
539.546083284021,370.0000000000001,-5.2954985158611575e+19,-7.371819881402428e-68,3.566569285850547e+16,1.0537408739036974e+18,1.0180751810451918e+18
594.3097825215141,370.0000000000001,-5.295503240918246e+19,-8.504475086716304e-67,3.743257880831823e+16,1.1059397878234802e+18,1.068507209015162e+18
654.5498516827564,370.0000000000001,-5.295507736720454e+19,-7.118774901195117e-66,3.928447599542259e+16,1.160650318775763e+18,1.1213658427803402e+18
720.8139277601231,370.0000000000001,-5.2955120152102216e+19,-3.985223536555482e-65,4.122559317202098e+16,1.2179968011079933e+18,1.1767712079359729e+18
793.7044114452264,370.0000000000001,-5.295516087597295e+19,-1.218419032302486e-64,4.326034038486834e+16,1.2781095490386222e+18,1.2348492086537546e+18
859.968487522593,370.0000000000001,-5.295519451015117e+19,-2.682922373763994e-63,4.510605255634259e+16,1.3305287639587855e+18,1.2854227114024428e+18
932.8589712076963,370.0000000000001,-5.2955226890790085e+19,-2.1374209991762065e-63,4.70221130999251e+16,1.385829659939075e+18,1.3388075468391498e+18
1013.0385032613099,370.0000000000001,-5.2955257859443974e+19,1.8159060505855716e-62,4.901467977349133e+16,1.4441775933404017e+18,1.3951629135669112e+18
1101.2359885202848,370.0000000000001,-5.295528763813271e+19,2.4687995619825274e-62,5.110166684723538e+16,1.5057339146189087e+18,1.454632247771674e+18
1198.2532223051574,370.0000000000001,-5.29553164014088e+19,-6.329548315345347e-62,5.329670555187699e+16,1.5706553345473428e+18,1.517358628995466e+18
1304.9721794685172,370.0000000000001,-5.295534422770085e+19,-1.1895885682396457e-61,5.5608924850817624e+16,1.6390993035980116e+18,1.5834903787471936e+18
