t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,370.0000000000001,-5.028416537480476e+19,-2.5966405967400882e-167,49011048425782.71,2.6719216155066716e+18,909153102138492.8,8.333660839834232e+17,5.683289198846091e+17,2.462759674163207e+17,7.95660817833576e+17,2.2733166223817914e+17
1.9090909090909092,370.0000000000001,-5.199700648895288e+19,-7.333043130217162e-167,58278491266734.125,3.5438043516408033e+18,1201769453562394.8,1.1052216770627428e+18,7.53810794535032e+17,3.266515494980516e+17,1.0553357753556466e+18,3.015245072444998e+17
2.909090909090909,370.0000000000001,-5.2304668878195384e+19,-7.897938455982197e-167,60578616136360.99,4.195201697235557e+18,1411790755048683.5,1.308147150233755e+18,8.924474050445846e+17,3.8672764241346e+17,1.2494277679119537e+18,3.569793622606198e+17
4.00909090909091,370.0000000000001,-5.235520918670126e+19,-7.825719643537328e-168,61968670581560.33,4.856132886211254e+18,1619453377066908.5,1.513921826342849e+18,1.033152276427504e+18,4.477000849959636e+17,1.4464156594200287e+18,4.1326161697726e+17
5.21909090909091,370.0000000000001,-5.2373278856223334e+19,-4.692289807934995e-167,64045092262694.484,5.561281559222281e+18,1842975495307856.5,1.7335040011284196e+18,1.1832571991775017e+18,5.127458715444306e+17,1.656563585276605e+18,4.7330388150775584e+17
6.55009090909091,370.0000000000001,-5.239640184979637e+19,-2.341771418455222e-167,68011296459745.61,6.3061573776922e+18,2092002618021295.5,1.9657495950146186e+18,1.3417242309832883e+18,5.814150147151572e+17,1.8784177401612677e+18,5.3669078290338784e+17
8.01419090909091,370.0000000000001,-5.244234593563259e+19,-2.0808133987587453e-167,76545786912287.4,7.058243363960505e+18,2367246477973622.5,2.2007867122303892e+18,1.501549048752416e+18,6.506720826209793e+17,2.1021713440713352e+18,6.006203840204995e+17
9.624700909090912,370.0000000000001,-5.253028950355795e+19,-6.923536551148002e-167,93562508888339.66,7.743893604147677e+18,2635217763112043.0,2.415448698883e+18,1.6471284049854277e+18,7.137558262579169e+17,2.3059803618050145e+18,6.588515319443158e+17
11.396261909090914,370.0000000000001,-5.262134193123371e+19,4.7475145869836995e-167,112205447517129.98,8.336793830711384e+18,2853204975385363.5,2.6007807848008064e+18,1.7731077286643254e+18,7.683465490939254e+17,2.482350389345122e+18,7.092429683843014e+17
13.344979009090915,370.0000000000001,-5.2660112517393334e+19,-2.6651749379176773e-168,121071178351650.88,8.913421232369225e+18,3036585151374061.5,2.78039019826294e+18,1.8958369912166124e+18,8.215294481328721e+17,2.6541720632210504e+18,7.583348752060264e+17
15.488567819090918,370.0000000000001,-5.266996170734721e+19,-3.433088502529358e-167,123828294539127.95,9.526589015807965e+18,3211202652045226.0,2.970882512964652e+18,2.0265054739451013e+18,8.781531040318693e+17,2.837110028604166e+18,8.106028653155807e+17
17.84651551009092,370.0000000000001,-5.267324201172001e+19,-3.2968129662465423e-166,125186218666521.38,1.0193329289335357e+19,3392756269070487.0,3.177766083610848e+18,2.1686711704408983e+18,9.397591522249896e+17,3.036144953777171e+18,8.674699867937121e+17
20.440257970190924,370.0000000000001,-5.267623997242324e+19,-2.834449276603203e-165,126865340815422.64,1.0918958444052146e+19,3597039929674996.5,3.403043073636137e+18,2.3233541365681823e+18,1.006789332242957e+18,3.2527039971486776e+18,9.293439991856984e+17
23.293374676300928,370.0000000000001,-5.268133648615495e+19,-2.143523899117519e-164,129998511736860.97,1.1702600725111499e+19,3846017730192408.5,3.6470481495126984e+18,2.490173675817957e+18,1.0790781712408106e+18,3.486252554009316e+18,9.960721582887908e+17
26.43180305302193,370.0000000000001,-5.269273865264787e+19,-1.7239886867088612e-163,137287794607489.23,1.2528813972800109e+19,4161959729726862.0,3.9057064878801244e+18,2.6656073766507356e+18,1.155098674331404e+18,3.731857256099155e+18,1.0662449303143497e+18
29.884074267415034,370.0000000000001,-5.272056300261493e+19,-1.4719801849911038e-162,155581178577398.4,1.3341583531767669e+19,4514279408003633.0,4.161188821802622e+18,2.837852199879437e+18,1.2297364841961285e+18,3.972994795235528e+18,1.1351413700673693e+18
33.02250264413604,370.0000000000001,-5.275306617294091e+19,-6.364122530530554e-162,177662895635350.84,1.3978450979428864e+19,4762199057947759.0,4.3606799657021036e+18,2.9730408142987295e+18,1.2883175281771151e+18,4.162256629453502e+18,1.1892161798438351e+18
36.47477385852915,370.0000000000001,-5.276831335258802e+19,-3.2005211211882634e-161,188726551987728.5,1.4626362985201078e+19,4956714304556823.0,4.5622120756752e+18,3.11103211300995e+18,1.3481142331666944e+18,4.35544598416094e+18,1.2444131383317427e+18
