t(s),Total solute volume 7,Total solute volume 8,Total solute volume 9,Total solute volume 10,Total solute volume 11,Total solute volume 12,Total solute volume 13,Total solute volume 14,Total solute volume 15,Total solute volume 16,Total solute volume 17,Total solute volume 18,Total solute volume 19,Total solute volume 20,Total solute volume 6,Total retention volume 7,Total retention volume 8,Total retention volume 9,Total retention volume 10,Total retention volume 11,Total retention volume 12,Total retention volume 13,Total retention volume 14,Total retention volume 15,Total retention volume 16,Total retention volume 17,Total retention volume 18,Total retention volume 19,Total retention volume 20,Total retention volume 6,Flux surface 30: solute,Flux surface 29: solute,Flux surface 28: solute,Flux surface 31: solute,Flux surface 32: solute,Flux surface 33: solute,Flux surface 34: solute,Flux surface 35: solute,Flux surface 36: solute,Flux surface 37: solute,Flux surface 38: solute,Flux surface 24: solute,Flux surface 25: solute,Flux surface 26: solute,Flux surface 27: solute,Flux surface 21: solute
11.566834666531655,6313811642546355.0,871086592439776.8,211814470903411.78,36215242766072.51,38654485185932.03,40375734878821.77,24839320914985.348,21347944037412.473,25693034507676.18,21495742335049.402,13513230017649.021,13134648114593.238,13071869563105.24,13261968830372.348,1.2584581795287355e+18,6.756184198249921e+16,1041819304716355.4,238540709469491.6,62985322282938.445,63397057464733.32,63795905793487.164,45055384407780.24,38225943407243.74,45189609446747.53,38253543925664.6,25703486144363.56,25746580877679.32,25712934305865.516,25714485768981.61,1.258458179528736e+18,-245182.3527344847,-283476.9993385467,-274070.5537414952,-183341.5401259287,-254603.82398367266,-212946.63905901051,-258300.59564509298,-179558.43012924492,-154994.88203771543,-151158.2438958718,-159165.42584701226,-448744553.26615536,-347516146.15869546,-134596538.36819702,-182670820.2580608,177029209537269.75
12.682503013196971,6340103058767495.0,978042447276647.6,240527964528217.47,41057769533126.44,43835680400697.81,45796065396884.89,28152729217136.082,24191024466283.44,29125578802211.305,24359531878766.336,15306900886131.99,14875996181464.066,14804129728134.234,15020769256432.549,1.3797571948182687e+18,6.782919885481625e+16,1169557748167288.0,270866893880007.22,71453392907639.78,71945705115941.83,72414741940400.02,51095863702018.22,43343391999267.85,51259378192674.54,43377000197856.54,29131106704345.754,29174588381257.395,29134921519817.414,29139607187769.79,1.3797571948182687e+18,-126335.349133815,-247890.39148174244,-335951.32492225623,-291928.8749089457,-337857.5444369894,-283008.4025750211,-331669.8777639001,-237527.57644077373,-238302.63571653236,-237904.7299321309,-240539.65585301857,-354495118.6364592,-267652423.27804694,-104870113.42123829,-146624671.2506278,176728959334868.4
13.809328043328941,6366592153094767.0,1089606685109935.4,270623014112988.97,46127801793611.27,49260694098352.33,51471775745040.945,31621462670013.91,27167114779037.973,32719268809532.027,27357356044712.734,17184173480003.07,16698451097597.826,16616997217523.479,16861475758505.613,1.5022559662710756e+18,6.8098598763619304e+16,1302792321356468.2,304748106358965.6,80326807986924.8,80905023793435.52,81448575573082.12,57424450429208.484,48704568117996.18,57619400403554.805,48744632292720.61,32721018834554.324,32764591417157.934,32718466080643.758,32726625893976.645,1.5022559662710756e+18,126209.65696966961,-55296.807116762175,-242008.61714033483,-293802.0738356827,-292514.8336929251,-233688.3446204735,-274511.67819697893,-218128.89629005382,-255818.21697277602,-260742.97082363014,-253366.0447632206,-252441434.84658405,-182523014.05208233,-73105141.49709882,-107024606.75422752,176427087276513.8
14.947421323762232,6393279949963978.0,1205773099328245.0,302084289696520.4,51422769237953.62,54926692627360.555,57399847032704.52,35243811433863.52,30274760389355.758,36472299079861.74,30487743184146.617,19144168476588.336,18601172565765.848,18509637305159.48,18783232962941.55,1.6259665516333798e+18,6.837005280651493e+16,1441516286789188.8,340167160731765.2,89601490548537.77,90270811711828.06,90893109987307.72,64038299689043.76,54307090151813.32,64266777928543.875,54354047196712.0,36471676944872.09,36515059425247.56,36462042147071.66,36474004546745.18,1.6259665516333798e+18,429209.72313583165,248232.69966072953,8419.373414865197,-161657.9439412381,-105873.97291214214,-55612.84127971919,-77845.70324467962,-105211.20185292035,-181862.2817954709,-192764.24896331513,-173064.95896130145,-147533072.71290842,-96143876.98381525,-40766576.502822116,-65835880.19581451,176123595306699.44
16.096895536999853,6420167473118813.0,1326541353712477.8,334899669520439.1,56940697908601.18,60831491686053.516,63577946695978.99,39018466923351.6,33512848139409.582,40383283477652.61,33749566142368.867,21186218037376.305,20583523307830.254,20481417149989.29,20785391380248.008,1.7509011064717228e+18,6.8643572081654344e+16,1585729827034662.2,377110492566168.06,99274396663576.58,100039927183625.83,100745128066942.22,70935291815044.08,60149185732219.06,71199347249792.45,60203462901409.94,40381936817119.27,40424858972855.66,40364520145518.49,40380603965273.1,1.7509011064717228e+18,656720.8058999876,560562.2104132997,354385.6149794405,86225.6002726939,187411.74062160662,212993.39195179424,219698.43585357108,90221.63126409415,-15264.876902620734,-31089.761153316416,-568.1164921673735,-43756833.86052301,-11701785.507528124,-9013600.792191299,-24663834.305192698,175818485551433.8
17.25786449236985,6447255745525839.0,1451916532355386.0,369059563666835.25,62680119616731.164,66973457242460.35,70004323500842.45,42944461082315.9,36880555049197.44,44451191544077.14,37141990502097.52,23309834150484.027,22645038762833.23,22531875655560.098,22867476612676.293,1.8770718848622897e+18,6.891916768680724e+16,1735439519802435.0,415567400710574.4,109343359951658.45,110210128484521.25,111002328844429.88,78113923554974.66,66229601090718.12,78415568977508.12,66291617413286.914,44450995969921.63,44493194889082.85,44425108017962.05,44445624013013.01,1.8770718848622897e+18,680061.5358994992,753359.2413264134,688336.7644454719,388997.161482011,513119.25418744615,495239.5276071306,540713.605071621,330784.6851425474,218502.5456077123,200609.82595816656,236105.2703637978,55733580.90583877,68326892.47425751,21252910.02524993,15202010.665907089,175511760319913.6
18.43044313729355,6474545789335048.0,1581908738094147.5,404556389615854.2,68640000535192.89,73351427489830.44,76677724867248.81,47021118485806.58,40377307795456.39,48675298328784.26,40664433667135.85,25514683591579.613,24785403099019.508,24660699606529.457,25029164986149.367,2.0044912411673992e+18,6.919685071898514e+16,1890657868979040.2,455529458285435.8,119806969031760.19,120779947747612.44,121663198841298.25,85573222253116.52,72547529405633.17,85914440756530.28,72617696838555.33,48678346503372.484,48719563675838.484,48643304715931.664,48668556824573.75,2.0044912411673992e+18,410714.1664377767,710444.2718297965,884266.6096939493,657635.3480157863,775041.7258466448,695037.3034238531,787487.5919393642,559765.3665133526,471509.8787860998,455882.74532194773,486735.2772198196,148502063.41180485,142071360.33580515,49349640.45992543,52747697.74981823,175203422105749.5
19.614747568666488,6502038625783378.0,1716532734088114.0,441384165098641.5,74819684127431.06,79964650496040.03,83597330829458.94,51248018049169.23,44002750247238.17,53055144296480.94,44316532084285.82,27800567865833.855,27004429986625.594,26867704539049.3,27270264022267.387,2.1331716327522941e+18,6.947663227340456e+16,2051402885491815.0,496990054564241.9,130664469605601.86,131748590248414.58,132726909333730.69,93312677262015.77,79102553409948.69,93695427685239.98,79181277789277.14,53063737335988.94,53103716175684.625,53018862930240.31,53049149332156.65,2.1331716327522941e+18,-164541.95452647697,364699.4887617647,831239.8051696479,796256.9421356388,877487.8003438342,721590.4699100968,865068.0414229989,712395.286231143,682348.9576548929,674117.0225550592,688559.9768425202,232727387.0841039,208174041.2760159,74775831.45228797,87198234.58699663,174893473588605.25
20.810895044353153,6529735275176613.0,1855807623827369.5,479538192021838.0,81218844965089.48,86812733758491.7,90762700610185.94,55624962041942.17,47756717143514.43,57590502887539.664,48098114668653.98,30167406951842.55,29302047009417.992,29152819229849.984,29590696607476.89,2.2631256233631677e+18,6.975852344334336e+16,2217697712651443.5,539944038556835.2,141915685252360.16,143115852954035.38,144193233277335.38,101332184456580.75,85894598872593.3,101758406039698.44,85982280706689.4,57607143610798.52,57645627314918.445,57551758880907.164,57587372896041.56,2.2631256233631677e+18,-963872.3525602021,-274523.48336496024,464782.98771873344,725330.8451867219,747840.4590191133,513401.1398920392,703988.2394480732,728894.7410412171,787816.5238462581,791976.6704906161,778470.0387714342,307112061.1639513,265709401.4369765,97183199.2587018,117984470.78467144,174581917635269.25
22.019003994796684,6557636756796368.0,1999756565421416.0,519014811310636.56,87837450939603.61,93895602930941.78,98173728910075.9,60151950735987.2,51639212520381.74,62281353979088.84,52009181025492.61,32615225986903.535,31678282893869.55,31516072987699.47,31990488023948.832,2.3943658868286433e+18,7.004253531909077e+16,2389570291285260.5,584387441874363.5,153560952649486.44,154882057915457.1,156062477375845.38,109632000855481.05,92923896489348.9,110103617255578.67,93020931626639.73,62308741647915.234,62345471325444.66,62242167574767.36,62283398434206.04,2.3943658868286433e+18,-1809980.0462154583,-1108755.0663430328,-209828.17630162212,402309.5607721633,355164.254721245,57266.14371108464,278637.6157396171,566965.367686711,735126.8808186782,755512.0777388787,705476.424100861,370801633.7845104,314112774.13698274,116350084.46515685,144713255.75213063,174268757301229.62
