t(s),Average T volume 1,Flux surface 1: solute,Flux surface 2: solute,Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
1.0,370.0000000000001,-4.717315518928516e+19,1.2273604140705553e-168,35402183596123.34,5.783084746196529e+18,747079883152853.2,1.669787030892483e+18,1.3605314025278423e+18,1.1131619989414701e+18,1.205925498848146e+18,4.328963329198435e+17
1.9090909090909092,370.0000000000001,-5.11595952906688e+19,-1.2478982027938625e-167,53185927207794.875,7.416386990113458e+18,965792765109368.4,2.141817326400346e+18,1.7446340108435512e+18,1.4274269693719378e+18,1.5463792167435663e+18,5.55110488061741e+17
2.909090909090909,370.0000000000001,-5.216117797899477e+19,-2.8880073461494244e-167,57765927101195.58,8.211409926211432e+18,1072216594077836.9,2.371622160802336e+18,1.9315871125418706e+18,1.5803881363840753e+18,1.7120871476324562e+18,6.145953863295203e+17
4.00909090909091,370.0000000000001,-5.231450180712893e+19,1.4464720634023621e-167,58545645923486.95,8.917248427643696e+18,1161136969577092.0,2.575369409897652e+18,2.0976627429793267e+18,1.7162682845257508e+18,1.859290641460305e+18,6.67437666165163e+17
5.21909090909091,370.0000000000001,-5.233637796952738e+19,-1.4721807826609211e-167,58775161516879.016,9.66717024932439e+18,1249482768754597.8,2.791500156498004e+18,2.2742254018758825e+18,1.860729343719447e+18,2.0157901223156987e+18,7.236169669850902e+17
6.55009090909091,370.0000000000001,-5.234124235207354e+19,1.3500178627039248e-168,58991873172252.39,1.0485580183604679e+19,1340442105660322.2,3.027037574476052e+18,2.4670241318083144e+18,2.0184751186145664e+18,2.1866813785725947e+18,7.849625461543137e+17
8.01419090909091,370.0000000000001,-5.234441931078468e+19,-1.3445706662616278e-167,59293323465835.99,1.1381151027564794e+19,1435801026269492.2,3.2844979841081206e+18,2.6780950555227116e+18,2.1911715073794588e+18,2.3737691332448957e+18,8.521222529598742e+17
9.624700909090912,370.0000000000001,-5.2348060680472175e+19,-1.3540553072025307e-167,59735329133814.98,1.2360386624704774e+19,1538100409614544.0,3.565837240247378e+18,2.908942024658102e+18,2.3800487959897764e+18,2.578386196127311e+18,9.255745319434555e+17
11.396261909090914,370.0000000000001,-5.2352856083989774e+19,-2.3596750457828557e-167,60400927817469.96,1.3429023304784134e+19,1651289294898659.8,3.8728936494951255e+18,3.16085354250152e+18,2.5861608896365967e+18,2.80167429781472e+18,1.0057292351134552e+18
13.344979009090915,370.0000000000001,-5.235966750969906e+19,-3.467106403505228e-167,61443066065805.586,1.4591223645638746e+19,1781150983190479.0,4.207199057885979e+18,3.434698445597775e+18,2.8102180639028506e+18,3.0444029034696033e+18,1.0928625807332916e+18
